FECHA RECOGIDA MUESTRA;EDAR;RESULTADO SARS-COV-2;VARIACIÓN;OBSERVACIONES
2021-09-21;EDAR PONFERRADA;NEGATIVO;S/D;
2021-09-21;COLECTOR SAN ANDRÉS DE RABANEDO;NEGATIVO;S/D;
2021-09-21;EBAR SANTA MARTA DE TORMES;NEGATIVO;S/D;
2021-09-21;COLECTOR VILLAQUILAMBRE;PRESUNTO POSITIVO;Aumento;Se considera una evolución en aumento puesto que al menos en las dos últimas muestras se ha obtenido un resultado negativo.
2021-09-21;EDAR ARANDA DE DUERO;NEGATIVO;S/D;
2021-09-21;EDAR BÉJAR;NEGATIVO;S/D;
2021-09-21;EDAR LA BAÑEZA;NEGATIVO;S/D;
2021-09-19;EDAR VALLADOLID (VATAR);POSITIVO;Estable;
2021-09-15;EDAR SEGOVIA (VATAR);POSITIVO;Estable;Hubo precipitaciones el mismo día (2,2 mm) y el día anterior (6,6 mm) del muestreo, pudiendo haber diluido la muestra, disminuyendo la cuantificación de SARS-CoV-2.
2021-09-15;EDAR ARANDA DE DUERO;NEGATIVO;S/D;Las precipitaciones recogidas entre el día anterior y el día de la toma de muestra han podido contribuir a una mayor dilución de la misma (2,01mm).
2021-09-15;EBAR ARROYO DE LA ENCOMIENDA;PRESUNTO POSITIVO;Disminución significativa;Se calcula la variación respecto a la semana previa a la anterior, al no tener cuantificación la inmediatamente anterior. Las precipitaciones recogidas principalmente el día anterior al de toma de muestra (28,4mm) han podido contribuir a una mayor dilución de ésta.
2021-09-14;EDAR MIRANDA DE EBRO;NEGATIVO;S/D;Las precipitaciones recogidas entre el día anterior y el día de toma de muestra (4,2mm) han podido contribuir a una mayor dilución de la muestra.
2021-09-14;EDAR PALENCIA;POSITIVO;Estable;La muestra puede encontrarse diluida debido a las precipitaciones acumuladas recogidas entre el día anterior y el día de toma de muestra (26,36mm).
2021-09-14;EDAR SALAMANCA;NEGATIVO;S/D;La muestra se encuentra fuertemente diluida debido a las precipitaciones recogidas entre el día anterior y el día de toma de muestra (30,64mm).
2021-09-14;EDAR ZAMORA;NEGATIVO;S/D;La muestra se encuentra bastante diluida debido a las precipitaciones acumuladas entre el día anterior y el día de toma de muestra (41,58mm).
2021-09-14;EDAR SORIA (VATAR);POSITIVO;Disminución;Hubo precipitaciones el mismo día (0,2 mm) y el día anterior (1,4 mm) del muestreo, pudiendo haber diluido la muestra, disminuyendo la cuantificación de SARS-CoV-2.
2021-09-14;EDAR ÁVILA;NEGATIVO;S/D;La muestra se encuentra bastante diluida debido a las precipitaciones acumuladas entre el día anterior y el día de la toma de muestra (8,1mm).
2021-09-14;EDAR BÉJAR;NEGATIVO;S/D;La muestra se encuentra diluida debido a las precipitaciones acumuladas entre el día anterior y el día de la toma de muestra (20,1mm).
2021-09-14;EDAR BENAVENTE;NEGATIVO;S/D;La muestra se encuentra bastante diluida debido a las precipitaciones acumuladas entre el día anterior y el día de la toma de muestra (37,92mm).
2021-09-14;EDAR CIUDAD RODRIGO;NEGATIVO;S/D;La muestra se encuentra fuertemente diluida debido a las precipitaciones acumuladas entre el día anterior y el día de toma de muestra (54,60mm).
2021-09-14;EBAR LAGUNA DE DUERO;NEGATIVO;S/D;La muestra se encuentra fuertemente diluida debido a las precipitaciones acumuladas entre el día anterior y el día de toma de muestra (28,8mm).
2021-09-14;COLECTOR LEÓN;POSITIVO;Estable;Se debe tener en cuenta que las precipitaciones recogidas entre el día anterior y el día de toma de muestra han sido de 27,3mm lo que puede haber contribuido a una mayor dilución de la muestra.
